   5.304700e-01    1.679300e-01    7.220000e-03    4.225200e-01    9.435000e-02    3.650000e-03    3.227000e-02 
   5.379000e-01    1.735600e-01    7.700000e-03    4.292900e-01    9.777000e-02    3.910000e-03    3.293000e-02 
   5.450600e-01    1.789200e-01    8.020000e-03    4.358200e-01    1.012100e-01    4.140000e-03    3.353000e-02 
   5.515300e-01    1.842600e-01    8.340000e-03    4.421100e-01    1.044000e-01    4.390000e-03    3.412000e-02 
   5.588000e-01    1.894300e-01    8.900000e-03    4.486300e-01    1.079200e-01    4.740000e-03    3.476000e-02 
   5.655200e-01    1.948300e-01    9.260000e-03    4.550500e-01    1.111300e-01    4.990000e-03    3.546000e-02 
   5.725200e-01    2.002700e-01    9.730000e-03    4.610200e-01    1.149900e-01    5.290000e-03    3.609000e-02 
   5.791500e-01    2.060000e-01    1.018000e-02    4.672400e-01    1.186500e-01    5.570000e-03    3.678000e-02 
   5.856000e-01    2.112300e-01    1.059000e-02    4.730000e-01    1.220900e-01    5.790000e-03    3.758000e-02 
   5.924900e-01    2.167000e-01    1.100000e-02    4.791100e-01    1.259800e-01    6.010000e-03    3.825000e-02 
   5.989300e-01    2.216700e-01    1.161000e-02    4.852100e-01    1.294500e-01    6.220000e-03    3.884000e-02 
   6.055000e-01    2.275500e-01    1.208000e-02    4.912200e-01    1.329300e-01    6.610000e-03    3.954000e-02 
   6.116200e-01    2.331900e-01    1.258000e-02    4.966200e-01    1.369400e-01    6.850000e-03    4.023000e-02 
   6.179800e-01    2.388500e-01    1.318000e-02    5.025900e-01    1.403000e-01    7.180000e-03    4.075000e-02 
   6.239000e-01    2.448600e-01    1.377000e-02    5.082500e-01    1.441900e-01    7.580000e-03    4.132000e-02 
   6.298800e-01    2.503500e-01    1.434000e-02    5.136800e-01    1.475800e-01    7.860000e-03    4.207000e-02 
   6.356500e-01    2.559200e-01    1.501000e-02    5.191800e-01    1.509500e-01    8.160000e-03    4.283000e-02 
   6.412700e-01    2.616500e-01    1.572000e-02    5.247500e-01    1.544000e-01    8.450000e-03    4.345000e-02 
   6.466500e-01    2.670800e-01    1.645000e-02    5.301600e-01    1.582100e-01    8.820000e-03    4.411000e-02 
   6.525500e-01    2.726000e-01    1.687000e-02    5.352000e-01    1.621400e-01    9.250000e-03    4.481000e-02 
   6.580400e-01    2.782300e-01    1.746000e-02    5.406100e-01    1.662300e-01    9.620000e-03    4.541000e-02 
   6.632800e-01    2.837900e-01    1.796000e-02    5.455800e-01    1.700600e-01    9.870000e-03    4.605000e-02 
   6.687500e-01    2.896500e-01    1.877000e-02    5.507800e-01    1.736200e-01    1.023000e-02    4.665000e-02 
   6.740000e-01    2.952500e-01    1.935000e-02    5.559700e-01    1.771400e-01    1.069000e-02    4.735000e-02 
   6.790300e-01    3.012500e-01    2.002000e-02    5.608900e-01    1.814200e-01    1.105000e-02    4.795000e-02 
