1	2	1	1	0	0	0	1	1	5.43563592672277	0	0	0
2	2	1	1	0	0	0	1	1	6.222249001588676	0	0	0
3	2	1	1	0	0	0	1	1	32.002161228528500	0	0	0
4	4	1	1	0	0	4	0	5	0	0	0	0.02
5	4	1	1	0	0	4	0	5	0	0	0	0.02
6	4	1	1	0	0	4	0	5	0	0	0	0.02
7	4	1	1	0	0	4	0	5	0	0	0	0.02
8	3	1	1	0	20	0	4	1	0	0	0	0
9	1	2	2	1	0	0	0	1	0	0	0	0
10	1	2	2	1	0	0	0	1	0	0	0	0
11	1	2	2	1	0	0	0	1	0	0	0	0
12	1	2	2	1	0	0	0	1	0	0	0	0
13	1	2	2	1	0	0	0	1	0	0	0	0
14	1	2	2	1	0	0	0	1	0	0	0	0
15	1	2	2	1	0	0	0	1	0	0	0	0
16	1	2	2	1	0	0	0	1	0	0	0	0
17	1	2	2	1	0	0	0	1	0	0	0	0
18	1	2	2	1	0	0	0	1	0	0	0	0
19	1	1	2	1	0	0	0	1	0	0	0	0
20	1	1	2	1	0	0	0	1	0	0	0	0
21	1	1	2	5	0	0	0	1	0	0	0	0
22	1	1	2	5	0	0	0	1	0	0	0	0
23	1	1	2	5	0	0	0	1	0	0	0	0
24	1	1	2	3	0	0	0	1	0	0	0	0
25	1	1	2	3	0	0	0	1	0	0	0	0
26	1	1	2	2	0	0	0	1	0	0	0	0
27	2	1	2	1	0	0	3	2	3	0.5	0	0
28	2	1	2	1	0	0	3	2	3	0.5	0	0
29	2	1	2	1	0	0	3	2	3	0.5	0	0
30	2	1	2	1	0	0	3	2	3	0.5	0	0
31	2	1	2	1	0	0	3	2	3	0.5	0	0
32	2	1	2	1	0	0	3	2	3	0.5	0	0
33	3	1	2	0	11	0	4	1	0	0	0	0
34	3	1	2	0	11	0	4	1	0	0	0	0
35	3	1	2	0	25	0	4	1	0	0	0	0
36	3	1	2	0	30	0	4	1	0	0	0	0
37	1	1	2	0	0	0	0	1	0	0	0	10
38	1	1	1	0	0	0	0	1	0	0	0	0.01
39	2	1	2	0	0	0	3	2	6	1	0	0
40	1	1	1	0	0	0	1	1	0	0	0	0.003
41	1	1	2	2	0	0	0	1	0	0	0	0	
42	1	1	2	2	0	0	0	1	0	0	0	0
43	1	2	2	1	0	0	0	1	0	0	0	0
44	1	2	2	1	0	0	0	1	0	0	0	0
45	1	2	3	1	0	0	0	1	0	0	0	0
