1	2	1	1	0	0	0	1	1	6.37	0	0	0
2	2	1	1	0	0	0	1	1	6.67	0	0	0
3	2	1	1	0	0	0	1	1	41.04	0	0	0
4	4	1	1	0	0	4	0	5	0	0	0	0.02
5	4	1	1	0	0	4	0	5	0	0	0	0.02
6	4	1	1	0	0	4	0	5	0	0	0	0.02
7	4	1	1	0	0	4	0	5	0	0	0	0.02
8	3	1	2	0	22	0	4	1	0	0	0	0
9	1	2	4	1	0	0	0	1	0	0	0	0
10	1	2	4	1	0	0	0	1	0	0	0	0
11	1	2	4	1	0	0	0	1	0	0	0	0
12	1	2	4	1	0	0	0	1	0	0	0	0
13	1	2	4	1	0	0	0	1	0	0	0	0
14	1	2	4	1	0	0	0	1	0	0	0	0
15	1	2	4	1	0	0	0	1	0	0	0	0
16	1	2	4	1	0	0	0	1	0	0	0	0
17	1	2	4	1	0	0	0	1	0	0	0	0
18	1	2	4	1	0	0	0	1	0	0	0	0
19	1	1	2	1	0	0	0	1	0	0	0	0
20	1	1	2	1	0	0	0	1	0	0	0	0
21	1	1	2	4	0	0	0	1	0	0	0	0
22	1	1	2	4	0	0	0	1	0	0	0	0
23	1	1	2	4	0	0	0	1	0	0	0	0
24	1	1	2	3	0	0	0	1	0	0	0	0
25	1	1	2	3	0	0	0	1	0	0	0	0
26	1	1	2	2	0	0	0	1	0	0	0	0
27	2	1	2	1	0	0	3	2	3	0.5	0	0
28	2	1	2	1	0	0	3	2	3	0.5	0	0
29	2	1	2	1	0	0	3	2	3	0.5	0	0
30	2	1	2	1	0	0	3	2	3	0.5	0	0
31	2	1	2	1	0	0	3	2	1.5	0.25	0	0
32	2	1	2	1	0	0	3	2	1.5	0.25	0	0
33	3	1	1	0	11	0	4	1	0	0	0	0
34	3	1	1	0	11	0	4	1	0	0	0	0
35	3	1	1	0	9	0	4	1	0	0	0	0
36	3	1	1	0	22	0	4	1	0	0	0	0
37	3	1	1	0	27	0	4	1	0	0	0	0
38	1	1	1	0	0	0	0	1	0	0	0	10
39	1	1	1	0	0	0	0	1	0	0	0	0.01
40	2	1	1	0	0	0	3	2	6	1	0	0
41	1	1	1	0	0	0	0	1	0	0	0	0.01
