1	1		
1	1		
1	2	11	
1	1	50	
1			
1			
1			
1			
2	2		
2	1		
2	3		
2	1		
2			
2			
2			
2			
3	3		
3	1		
3	4		
3	1		
3			
3			
3			
3			
4	4		
4	1		
4	5		
4	1		
4			
4			
4			
4			
5	4	13	
5	1	1	
5	1	13	
5	1	1	
5			
5			
5			
5			
6	5	13	
6	1	1	
6	1	13	
6	1	1	
6			
6			
6			
6			
7	13		
7	1		
7	12		
7	1		
7			
7			
7			
7			
8	12		
8	1		
8	13		
8	1		
8			
8			
8			
8			
9	5	11	
9	1	1	
9	14		
9	1		
9			
9			
9			
9			
10	9	13	
10	1	1	
10	6	13	
10	1	1	
10			
10			
10			
10			
11	13	10	
11	1	1	
11	6	13	
11	1	1	
11			
11			
11			
11			
12	6		
12	1		
12	7	11	
12	1	1	
12			
12			
12			
12			
13	7		
13	1		
13	8		
13	1		
13			
13			
13			
13			
14	8		
14	1		
14	9		
14	1		
14			
14			
14			
14			
15	9		
15	1		
15	1		
15	1		
15			
15			
15			
15			
16	4		
16	1		
16	6	11	1
16	1	1	1
16			
16			
16			
16			
